Node Number	Shear Elastic Strain (mm/mm)
823	4.3678e-006
824	8.2374e-006
825	9.3238e-006
826	1.0995e-005
827	1.1132e-005
828	9.03e-006
829	6.8466e-006
830	6.3703e-006
831	6.2679e-006
832	6.3689e-006
833	6.548e-006
834	6.7369e-006
835	6.8981e-006
836	7.0121e-006
837	7.0699e-006
838	7.0694e-006
839	7.0129e-006
840	6.9058e-006
841	6.7559e-006
842	6.5729e-006
843	6.3676e-006
844	6.1506e-006
845	5.9315e-006
846	5.7172e-006
847	5.5096e-006
848	5.3038e-006
849	5.0859e-006
850	4.8327e-006
851	4.5107e-006
852	4.0823e-006
853	3.4976e-006
854	2.748e-006
855	1.6967e-006
856	6.9073e-007
857	-6.3401e-007
858	-6.0486e-006
859	-8.9383e-006
860	-1.0749e-005
861	-1.1482e-005
862	-1.124e-005
863	-1.0127e-005
864	-8.2489e-006
865	-5.7211e-006
866	-2.6761e-006
867	7.2546e-007
868	4.2866e-006
869	7.7704e-006
870	1.0905e-005
871	1.3412e-005
872	1.508e-005
873	1.5896e-005
874	1.6125e-005
875	1.6165e-005
876	1.618e-005
877	7.0129e-004
878	5.949e-004
879	3.9129e-004
880	2.943e-004
881	4.4155e-004
882	2.9363e-004
883	2.1355e-004
884	1.5507e-004
885	1.0881e-004
886	6.8677e-005
887	3.1694e-005
888	-4.2088e-006
889	-3.9884e-005
890	-7.4978e-005
891	-1.0749e-004
892	-1.3347e-004
893	-1.4733e-004
894	-1.4603e-004
895	-1.3325e-004
896	-1.3133e-004
897	-1.2831e-004
898	-1.2436e-004
899	-1.1972e-004
900	-1.1458e-004
901	-1.0911e-004
902	-1.0341e-004
903	-9.7597e-005
904	-9.1745e-005
905	-8.5924e-005
906	-8.0192e-005
907	-7.4602e-005
908	-6.9197e-005
909	-6.4018e-005
910	-5.9097e-005
911	-5.4451e-005
912	-5.0052e-005
913	-4.5976e-005
914	-4.0894e-005
915	-3.7565e-005
916	-3.3863e-005
917	-3.0601e-005
918	-2.7624e-005
919	-2.4915e-005
920	-2.2447e-005
921	-2.0196e-005
922	-1.8139e-005
923	-1.6256e-005
924	-1.4526e-005
925	-1.2931e-005
926	-1.1455e-005
927	-1.0083e-005
928	-8.8015e-006
929	-7.5974e-006
930	-6.4601e-006
931	-5.3797e-006
932	-4.3471e-006
933	-3.3532e-006
934	-2.3888e-006
935	-1.4428e-006
936	-5.0067e-007
937	4.588e-007
938	1.468e-006
939	2.5753e-006
940	3.8543e-006
941	5.4003e-006
942	7.3528e-006
943	-1.0423e-003
944	-1.0463e-003
945	-1.0255e-003
946	-9.8139e-004
947	-9.1828e-004
948	-8.4185e-004
949	-7.5797e-004
950	-6.7175e-004
951	-5.8722e-004
952	-5.0729e-004
953	-4.3391e-004
954	-3.6818e-004
955	-3.1053e-004
956	-2.609e-004
957	-2.1885e-004
958	-1.837e-004
959	-1.5465e-004
960	-1.3078e-004
961	-1.1107e-004
962	-9.4233e-005
963	-9.0201e-005
964	-8.6348e-005
965	-8.2724e-005
966	-7.9078e-005
967	-7.5369e-005
968	-7.1606e-005
969	-6.7811e-005
970	-6.401e-005
971	-6.0231e-005
972	-5.6496e-005
973	-5.2827e-005
974	-4.9238e-005
975	-4.5737e-005
976	-4.2326e-005
977	-3.9004e-005
978	-3.5759e-005
979	-3.2581e-005
980	-2.9451e-005
981	-2.6353e-005
982	-2.3266e-005
983	-2.0172e-005
984	-1.7056e-005
985	-1.3904e-005
986	-1.0715e-005
987	-7.5038e-006
988	-4.3073e-006
989	-1.1846e-006
990	1.9155e-006
991	-1.922e-005
992	-2.4017e-005
993	-2.7236e-005
994	-2.9349e-005
995	-3.0688e-005
996	-3.1515e-005
997	-3.199e-005
998	-3.2194e-005
999	-3.2183e-005
1000	-3.2016e-005
1001	-3.1756e-005
1002	-3.1462e-005
1003	-3.1181e-005
1004	-3.0937e-005
1005	-3.0725e-005
1006	-3.0503e-005
1007	-3.0177e-005
1008	-2.9584e-005
1009	-2.846e-005
1010	-2.3517e-005
1011	-2.275e-005
1012	-2.1835e-005
1013	-2.0852e-005
1014	-1.9708e-005
1015	-1.8426e-005
1016	-1.7016e-005
1017	-1.5502e-005
1018	-1.3906e-005
1019	-1.2257e-005
1020	-1.0582e-005
1021	-8.9099e-006
1022	-7.2677e-006
1023	-5.6795e-006
1024	-4.1671e-006
1025	-2.7489e-006
1026	-1.4401e-006
1027	-2.5267e-007
1028	8.0479e-007
1029	1.7271e-006
1030	2.5129e-006
1031	3.165e-006
1032	3.6919e-006
1033	4.1102e-006
1034	4.4495e-006
1035	4.7614e-006
1036	5.139e-006
1037	5.7589e-006
1038	6.9608e-006
1039	-5.4875e-005
1040	-8.5894e-005
1041	-2.5085e-004
1042	-6.2187e-004
1043	-1.2953e-005
1044	-3.5413e-005
1045	-4.0637e-005
1046	-5.3431e-005
1047	-6.7096e-005
1048	-1.3769e-004
1049	-1.9557e-003
1050	1.1938e-005
1051	9.0787e-004
1052	1.8137e-004
1053	2.1033e-004
1054	1.5879e-004
1055	1.4753e-004
1056	1.3988e-004
1057	1.3484e-004
1058	1.2855e-004
1059	1.1926e-004
1060	1.0434e-004
1061	8.0246e-005
1062	4.1257e-005
1063	-2.1315e-005
1064	-1.2282e-004
1065	-2.9503e-004
1066	-5.854e-004
1067	-1.4048e-003
1068	9.3228e-004
1069	3.8533e-004
1070	2.2139e-004
1071	1.2836e-004
1072	6.61e-005
1073	3.642e-005
1074	1.3641e-005
1075	1.2913e-006
1076	-7.6434e-006
1077	-1.2632e-005
1078	-1.5524e-005
1079	-1.6773e-005
1080	-1.7533e-005
1081	-1.8547e-005
1082	-2.3051e-006
1083	3.6545e-006
1084	-1.2452e-003
1085	1.9738e-004
1086	1.4848e-004
1087	1.4476e-004
1088	1.4144e-004
1089	1.4124e-004
1090	1.3996e-004
