Node Number	Shear Elastic Strain (mm/mm)
963	-1.87e-004
964	-1.8042e-004
965	-1.7345e-004
966	-1.6547e-004
967	-1.5645e-004
968	-1.4653e-004
969	-1.3591e-004
970	-1.248e-004
971	-1.1341e-004
972	-1.0193e-004
973	-9.0539e-005
974	-7.9391e-005
975	-6.8618e-005
976	-5.8325e-005
977	-4.8601e-005
978	-3.9515e-005
979	-3.1126e-005
980	-2.3482e-005
981	-1.6628e-005
982	-1.0608e-005
983	-5.4673e-006
984	-1.2526e-006
985	1.9859e-006
986	4.2001e-006
987	5.353e-006
988	5.4481e-006
989	4.6111e-006
990	3.0757e-006
991	5.1966e-006
992	-1.6713e-006
993	-8.7335e-006
994	-1.5925e-005
995	-2.2617e-005
996	-2.8489e-005
997	-3.3351e-005
998	-3.689e-005
999	-3.8702e-005
1000	-3.8438e-005
1001	-3.5906e-005
1002	-3.1117e-005
1003	-2.4276e-005
1004	-1.5747e-005
1005	-6.0009e-006
1006	4.438e-006
1007	1.5032e-005
1008	2.5276e-005
1009	3.4677e-005
1010	4.3979e-005
1011	4.6777e-005
1012	4.8351e-005
1013	4.9468e-005
1014	5.0501e-005
1015	5.1419e-005
1016	5.2218e-005
1017	5.2864e-005
1018	5.332e-005
1019	5.3542e-005
1020	5.349e-005
1021	5.313e-005
1022	5.2436e-005
1023	5.1396e-005
1024	5.0009e-005
1025	4.8287e-005
1026	4.6258e-005
1027	4.3955e-005
1028	4.1423e-005
1029	3.871e-005
1030	3.5868e-005
1031	3.2944e-005
1032	2.9979e-005
1033	2.6999e-005
1034	2.3998e-005
1035	2.0915e-005
1036	1.7585e-005
1037	1.3698e-005
1038	8.5187e-006
1039	-1.3205e-004
1040	-2.8224e-004
1041	-8.7474e-004
1042	-1.8872e-003
1043	1.4427e-005
1044	4.9168e-005
1045	4.629e-005
1046	-1.7726e-005
1047	-8.3534e-005
1048	-3.5313e-004
1049	-1.044e-003
1050	9.1963e-006
1051	1.9865e-003
1052	-9.2401e-004
1053	-8.9419e-004
1054	-9.9557e-004
1055	-1.0568e-003
1056	-1.1114e-003
1057	-1.1685e-003
1058	-1.2383e-003
1059	-1.3304e-003
1060	-1.4546e-003
1061	-1.6211e-003
1062	-1.8384e-003
1063	-2.1128e-003
1064	-2.4462e-003
1065	-2.8012e-003
1066	-2.9723e-003
1067	-1.5755e-003
1068	2.5813e-003
1069	2.0347e-003
1070	1.336e-003
1071	9.5685e-004
1072	6.5349e-004
1073	4.3133e-004
1074	2.4769e-004
1075	1.1103e-004
1076	8.3085e-006
1077	-5.996e-005
1078	-9.8726e-005
1079	-1.1083e-004
1080	-9.9481e-005
1081	-7.3491e-005
1082	1.3917e-005
1083	-1.702e-005
1084	-2.9437e-003
1085	-8.6053e-004
1086	-9.5346e-004
1087	-1.0048e-003
1088	-1.0469e-003
1089	-1.09e-003
1090	-1.1449e-003
1091	-1.2221e-003
1092	-1.3333e-003
1093	-1.4905e-003
1094	-1.7081e-003
1095	-1.9996e-003
1096	-2.3831e-003
1097	-2.8657e-003
1098	-3.2e-003
1099	-1.7554e-003
1100	-6.0353e-005
1101	-8.3916e-005
1102	-7.8629e-005
1103	-4.4172e-005
1104	2.0933e-005
1105	1.1614e-004
1106	2.5163e-004
1107	4.1549e-004
1108	6.4977e-004
1109	8.9309e-004
1110	1.3072e-003
1111	1.7238e-003
1112	2.4741e-003
1113	4.0385e-003
1114	1.4583e-006
1115	-1.4377e-003
1116	-1.3324e-003
1117	-1.2621e-003
1118	-1.2091e-003
1119	-1.1694e-003
1120	-1.1373e-003
1121	-1.1065e-003
1122	-1.071e-003
1123	-1.0268e-003
1124	-9.7244e-004
1125	-9.0862e-004
1126	-8.3777e-004
1127	-7.6318e-004
1128	-6.8835e-004
1129	-6.1645e-004
1130	-5.4997e-004
1131	-4.9046e-004
1132	-4.3838e-004
1133	-3.9252e-004
1134	-3.4015e-004
1135	-3.3583e-004
1136	-3.258e-004
1137	-3.1159e-004
1138	-2.9479e-004
1139	-2.7621e-004
1140	-2.5646e-004
1141	-2.3607e-004
1142	-2.1548e-004
1143	-1.9507e-004
1144	-1.7515e-004
1145	-1.5596e-004
1146	-1.3765e-004
1147	-1.2034e-004
1148	-1.041e-004
1149	-8.8954e-005
1150	-7.4915e-005
1151	-6.1986e-005
1152	-5.017e-005
1153	-3.9469e-005
1154	-2.9896e-005
1155	-2.1476e-005
1156	-1.4242e-005
1157	-8.2428e-006
1158	-3.5376e-006
1159	-1.9018e-007
1160	1.744e-006
1161	2.2344e-006
1162	1.5594e-006
1163	6.265e-006
1164	1.0379e-005
1165	1.3319e-005
1166	1.5693e-005
1167	1.782e-005
1168	1.9809e-005
1169	2.1679e-005
1170	2.3407e-005
1171	2.4946e-005
1172	2.6245e-005
1173	2.7249e-005
1174	2.7908e-005
1175	2.8181e-005
1176	2.8035e-005
1177	2.7459e-005
1178	2.6456e-005
1179	2.5057e-005
1180	2.3321e-005
1181	2.1336e-005
1182	1.9221e-005
1183	1.7122e-005
1184	1.5207e-005
1185	1.3647e-005
1186	1.2608e-005
1187	1.2225e-005
1188	1.2617e-005
1189	1.3765e-005
1190	1.5877e-005
1191	1.6393e-005
1192	1.2365e-005
1193	7.6005e-006
1194	2.9388e-006
1195	-8.3775e-007
1196	-3.1668e-006
1197	-3.7184e-006
1198	-2.3517e-006
1199	8.8951e-007
1200	5.7771e-006
1201	1.19e-005
1202	1.8678e-005
1203	2.5406e-005
1204	3.1353e-005
1205	3.5943e-005
1206	3.8963e-005
1207	4.0546e-005
1208	4.0518e-005
1209	3.7379e-005
1210	2.8889e-005
1211	4.044e-004
1212	-3.2784e-004
1213	3.5898e-004
1214	-5.8176e-004
1215	2.9937e-004
1216	-6.187e-004
1217	1.8355e-004
1218	-6.2954e-004
1219	6.6427e-005
1220	-6.4874e-004
1221	-3.6261e-005
1222	-6.7701e-004
1223	-1.2418e-004
1224	-7.062e-004
1225	-1.9096e-004
1226	-7.2773e-004
1227	-2.3433e-004
1228	-7.3166e-004
1229	-2.5298e-004
1230	-7.095e-004
1231	-2.492e-004
1232	-6.5626e-004
1233	-2.2849e-004
1234	-5.7359e-004
1235	-1.9843e-004
1236	-4.7121e-004
1237	-1.6362e-004
1238	-3.6314e-004
1239	-7.8837e-004
1240	-8.5971e-004
1241	-9.8845e-004
1242	-1.0062e-003
1243	-1.1118e-003
1244	-1.1038e-003
1245	-1.2076e-003
1246	-1.1913e-003
1247	-1.2903e-003
1248	-1.2794e-003
1249	-1.3747e-003
1250	-1.3787e-003
1251	-1.4677e-003
1252	-1.4976e-003
1253	-1.5686e-003
1254	-1.6427e-003
1255	-1.6697e-003
1256	-1.8164e-003
1257	-1.7541e-003
1258	-2.0144e-003
1259	-1.7942e-003
1260	-2.2213e-003
1261	-1.7504e-003
1262	-2.399e-003
1263	-1.5792e-003
1264	-2.4683e-003
1265	-1.2598e-003
1266	-2.3043e-003
1267	-2.2391e-005
1268	-2.9927e-005
1269	-3.9398e-005
1270	-5.087e-005
1271	-6.464e-005
1272	-8.0944e-005
1273	-1.0009e-004
1274	-1.2243e-004
